eval_id,Q_pitch,R,fitness,rms_pitch_wobble_deg,max_pitch_deviation_deg,pitch_settle_time_s,pitch_oscillations_count,max_wheel_pos_drift_m,control_effort_integral,peak_torque_nm,max_bearing_load_n,pass_fail
45,55.4848914589783,0.7290011994000956,0.39323588436059903,0.10624867014959608,0.3006010967406494,0.05000000000000004,86,0.0025421346065028277,1.0711845381326925,0.39431854846286946,90.45647855218272,True
46,67.28493410067844,1.5132806448621472,0.31191455096577,0.10713744397201586,0.357895427590164,0.05000000000000004,102,0.002179846273369158,0.7426266299447051,0.31966946636113536,90.43760793719076,True
47,34.30624693137975,0.7587054399996496,0.39360957720284084,0.10448427446546478,0.3605098056481335,0.05000000000000004,99,0.0022583238387118574,1.0557975061010145,0.3791482612365895,90.42643794578362,True
48,40.89721847552934,1.4126786334085328,0.33323678355025566,0.10362298360899723,0.29663443409263546,0.05000000000000004,114,0.002366032445047363,0.8389961697936592,0.24565341169232532,90.423827149201,True
49,113.83709685914796,1.6121536042764282,0.30247679350674045,0.09966055338899604,0.30296139493508467,0.05000000000000004,93,0.0020564046963387843,0.7464528993087834,0.29088066384678446,90.45559782353439,True
50,12.372087419366636,0.6385451194831424,0.42529263341728146,0.10436254678190425,0.3122630493485419,0.05000000000000004,96,0.002387665093994359,1.1781480682159444,0.40533064631734783,90.45590646559872,True
51,165.46249843584079,1.0520187084311678,0.38814951061688097,0.10834401693398824,0.3396770421076829,0.05000000000000004,89,0.0027000809324601036,1.027547280386937,0.4288506756005939,90.43798137468053,True
52,180.61682662990654,1.5318675991819686,0.32087988351079816,0.09926992766633438,0.22582794146167462,0.05000000000000004,108,0.00225105333848579,0.7604873130436719,0.36599873515649284,90.43088142231032,True
53,45.746171988977395,0.8076458982391265,0.38999396421478166,0.10161555281820704,0.3118359533212798,0.05000000000000004,97,0.0024165829392274714,1.034052579689681,0.4185128157723311,90.47081140369012,True
54,12.320901478445506,0.8658572927968797,0.40644216298815566,0.1097550805915581,0.30277459611597823,0.05000000000000004,101,0.002306775233516358,1.1064346596378978,0.3497011079535473,90.44063941998502,True
55,12.51932067808643,1.46885084655896,0.30968944222121814,0.10154329261213613,0.33799902016123506,0.05000000000000004,97,0.0023352657479259317,0.7727020094977951,0.26929569652329755,90.4294878306555,True
56,38.59336112393558,1.226391602280176,0.3278286125514777,0.10380097798159663,0.3682069829669501,0.05000000000000004,94,0.0022906615548541178,0.8392420781626421,0.2903956950720775,90.44058230413304,True
57,121.26637390436494,1.2698011406187841,0.35743484085815774,0.10749580315785759,0.3413306755733685,0.05000000000000004,102,0.002111530581258559,0.900761122517217,0.37823932849458713,90.432230956213,True
58,123.78233620947222,0.7635409999584803,0.3698832130322066,0.10618643864523457,0.3234660394134925,0.05000000000000004,70,0.0020980130005204298,1.0234646938393728,0.36122861514165505,90.45447211327824,True
59,54.79330272280803,1.8621509909232,0.293926034432725,0.10426954970394395,0.3303614739875187,0.05000000000000004,79,0.0022330677434173082,0.7398383968282223,0.2731200179540836,90.4193573586717,True
60,81.30805865924978,1.212605027446593,0.3288822684364363,0.09172343914180238,0.27847148538750655,0.05000000000000004,96,0.002525716270446442,0.8616588777070668,0.2827303009885941,90.4594974527407,True
61,156.53686701875023,1.5395106384173658,0.31968650032436285,0.10624076362614997,0.39244958391872364,0.05000000000000004,91,0.0018981975394045288,0.8002552964041251,0.31246731264990685,90.44062760732811,True
62,117.19257121934896,1.5032494141368051,0.33468392314532197,0.10698618947519486,0.30989245894195383,0.05000000000000004,92,0.0020440725981818435,0.8651672621795603,0.291888172907176,90.44866654042565,True
63,125.75385259305799,1.2062565522412831,0.38053415024313636,0.10602601460599624,0.3256761800883241,0.05000000000000004,90,0.0025570622247889857,1.02400777023979,0.366103893958326,90.44745317455182,True
64,68.67414306855672,1.476234389399513,0.306746889000597,0.10842233544720442,0.31596772456043576,0.05000000000000004,75,0.002027505566925037,0.7906181592086823,0.27817913906159597,90.4445809475871,True
65,64.13182071513867,1.3138681339678633,0.3352304604837763,0.1030447015674704,0.3096759180824682,0.05000000000000004,97,0.002783828112130211,0.8461041149960581,0.33429785485347596,90.4256588909711,True
66,65.94849431296436,1.2067942026982759,0.35000147757196687,0.11192567858432274,0.27865778967794963,0.05000000000000004,97,0.002317135008084587,0.8920737394769009,0.3324934426739561,90.42875128323325,True
67,26.347846336337682,1.4106953643817652,0.3234090947515841,0.10301081022077796,0.30658069324885884,0.05000000000000004,115,0.002635796394814367,0.7649116973635922,0.32949687043411974,90.45336780166946,True
68,184.78669986580354,1.375158715277538,0.32250338955295643,0.0994154352391485,0.31915776235557236,0.05000000000000004,94,0.002144294950793083,0.8083366923611326,0.33224183376855243,90.43948208838388,True
69,73.50633925522256,1.2300446096322946,0.3463860642516577,0.1017648670536448,0.3467439460669699,0.05000000000000004,95,0.0022474899183786497,0.8734920665584952,0.3935760280690027,90.43241462405354,True
70,154.97681088907697,0.9846871879933282,0.37071662546555034,0.09918587191893127,0.27618597347993123,0.05000000000000004,85,0.0024011357353988586,1.0157833473145104,0.3411621272227042,90.4407529301351,True
71,189.41063293155244,1.493519999234645,0.3422401981643141,0.10567207405877363,0.30099675663738634,0.05000000000000004,99,0.002308164554958596,0.8734612112990388,0.3164443280505327,90.43364710938745,True
72,23.654784722802106,0.6805075263918243,0.3897664567097602,0.10237900323212419,0.3069688885957069,0.05000000000000004,103,0.002439025409489491,0.9816912757022023,0.5140423140946201,90.4346969440057,True
73,145.95512989450597,0.8784521034852142,0.3778820103071727,0.09803149176032525,0.3048475123657326,0.05000000000000004,96,0.002655387078440121,1.0321707959138966,0.320956372088805,90.45122425375826,True
74,117.33715548894646,1.0686654563751588,0.3523745005154357,0.11175548295093116,0.3761756735792823,0.05000000000000004,94,0.0023075101848970907,0.912543313295239,0.32074976974274005,90.45359695080492,True
75,16.624380444426734,1.176933885564431,0.3651076256992459,0.10494404587530042,0.2556390263614139,0.05000000000000004,96,0.002092423565903434,0.9548246771024715,0.3600535336032717,90.42768346442783,True
76,41.07260811520438,1.1354622814743034,0.3553718159765176,0.10770214517790488,0.3708490608803916,0.05000000000000004,99,0.0024451436706165834,0.9146926663029366,0.3362876259549825,90.43910442630202,True
77,94.57054709847499,1.29953011541806,0.3386917943175914,0.1031377750539746,0.3866572884667132,0.05000000000000004,89,0.0022130601454668237,0.8940189318384189,0.2898933930730354,90.46306191935852,True
78,16.963488144144137,1.514036516468619,0.2745085446969366,0.09931962651002689,0.2715355574388536,0.05000000000000004,84,0.0023188726685912067,0.677699509315696,0.22892042230283563,90.4123030439839,True
79,22.468967469062463,1.6448107653408073,0.2786845462309014,0.10500105033940511,0.2778965468301069,0.05000000000000004,83,0.002164431053916005,0.6665314072300785,0.2811838807683649,90.4526356114672,True
80,56.88796160280557,0.6385451194831424,0.3997478537228361,0.10284624060638557,0.3156636231570118,0.05000000000000004,100,0.0020996370265582206,1.0757613293642063,0.3924909773391865,90.44768804132276,True
81,65.8919149352608,1.0520187084311678,0.3165592275873575,0.09420394040899348,0.26688538919871063,0.05000000000000004,85,0.002175473848550144,0.8336722897155129,0.27524484225171836,90.43828456188852,True
82,25.443291537492996,0.9997826713716991,0.35440079340200936,0.11249033341342711,0.2998417893880463,0.05000000000000004,93,0.0022705803866819125,0.9075797008345022,0.3555561875067659,90.43807730567538,True
83,21.333870522077888,1.6507829533246992,0.32263922749415985,0.10965469764278972,0.30841565521960757,0.05000000000000004,99,0.0020788283026479033,0.7828432605802074,0.33150767631462547,90.43240574659347,True
84,12.320901478445506,1.2095572604825644,0.3481792864636102,0.10515454409822067,0.3622230023524444,0.05000000000000004,77,0.002184271782142492,0.9228233157956947,0.36474785518969716,90.42398135671618,True
85,17.953411478561478,1.9199179743789547,0.3119057727000438,0.10624840046630338,0.3491646581615928,0.05000000000000004,101,0.0027872339632861788,0.7359107409443054,0.3437128048478885,90.43505285936577,True
86,15.58494469373639,1.5014749183176122,0.31811223207499717,0.105929618623548,0.257582426725411,0.05000000000000004,94,0.0022340723062874183,0.8108697305091033,0.25576137537044663,90.43710064936855,True
87,28.50474458517492,1.7357580841626872,0.31032537748221506,0.09996089187912821,0.28264476147465123,0.05000000000000004,101,0.0022265656900567,0.7806607249043644,0.24230526366461336,90.41103187060567,True
88,55.03385017433765,0.9655812095310293,0.37867757592660295,0.10168817711112073,0.37286471151693856,0.05000000000000004,90,0.002471379652397733,1.0292894167018172,0.3518567497622085,90.45747147245426,True
89,44.20198311981746,1.844166316206939,0.3194967410868157,0.10547992982743463,0.3244440379713731,0.05000000000000004,106,0.0027236439320905822,0.7897881615469875,0.2631299998267685,90.43665608918099,True
