run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
61,s04_vel_pi_staircase,g000007_c3,7,,,,,,9.307606315336482,0.024447104900295065,,,,,,,10.5012,15.2654,7.9724,0.0,0.5951,13.0,13.0,,,,,,2.83542,PASS,
62,s04_vel_pi_staircase,g000007_c4,7,,,,,,20.000000000000004,0.004909379395613381,,,,,,,10.7434,15.2213,7.5661,0.0,0.5617,13.0,13.0,,,,,,2.75944,PASS,
63,s04_vel_pi_staircase,g000007_c5,7,,,,,,0.4678690979501657,1.2659487546408346,,,,,,,10.3208,15.336,9.3604,0.0,0.5757,13.0,13.0,,,,,,2.75918,PASS,
64,s04_vel_pi_staircase,g000007_c6,7,,,,,,0.609298559062381,0.07295656281696679,,,,,,,7.0192,15.2464,7.7013,0.0,0.4625,13.0,13.0,,,,,,2.08942,PASS,
65,s04_vel_pi_staircase,g000007_c7,7,,,,,,2.0920256947616362,0.007676980539023848,,,,,,,9.6006,15.2404,7.8069,0.0,0.5945,13.0,13.0,,,,,,2.74356,PASS,
66,s04_vel_pi_staircase,g000008_c0,8,,,,,,0.7256704862835293,0.006963002837029218,,,,,,,7.1973,15.2542,7.7652,0.0,0.548,13.0,13.0,,,,,,2.36373,PASS,
67,s04_vel_pi_staircase,g000008_c1,8,,,,,,0.6030679057549775,0.010047435116346159,,,,,,,6.6723,15.2594,7.2915,0.0,0.46,13.0,13.0,,,,,,2.04723,PASS,
68,s04_vel_pi_staircase,g000008_c2,8,,,,,,0.21812488636491828,0.0066693936214906645,,,,,,,5.7444,15.1956,7.209,0.0,0.5342,0.0,13.0,,,,,,2.17704,PASS,
69,s04_vel_pi_staircase,g000008_c3,8,,,,,,0.058153758112974,0.025813059611758043,,,,,,,4.3044,8.3656,8.1663,0.0,0.8299,0.0,13.0,,,,,,2.92014,PASS,
70,s04_vel_pi_staircase,g000008_c4,8,,,,,,0.0984705520288124,0.03019527106950305,,,,,,,5.0794,10.1115,7.3881,0.0,0.641,0.0,13.0,,,,,,2.43094,PASS,
71,s04_vel_pi_staircase,g000008_c5,8,,,,,,2.021368119732345,0.0001,,,,,,,9.5079,15.231,7.7018,0.0,0.5719,13.0,13.0,,,,,,2.66649,PASS,
72,s04_vel_pi_staircase,g000008_c6,8,,,,,,0.01702180624039626,0.09385271933454692,,,,,,,6.4201,12.0785,8.0837,0.0,0.6939,0.0,13.0,,,,,,2.72371,PASS,
73,s04_vel_pi_staircase,g000008_c7,8,,,,,,14.164797507707812,0.00034726322677940244,,,,,,,10.6032,15.2195,7.5684,0.0,0.5404,13.0,13.0,,,,,,2.68152,PASS,
74,s04_vel_pi_staircase,g000009_c0,9,,,,,,0.4224471555693467,0.040960938573745505,,,,,,,6.7068,15.2451,7.6086,0.0,0.4667,1.254,13.0,,,,,,2.07078,PASS,
75,s04_vel_pi_staircase,g000009_c1,9,,,,,,0.10988396805066131,0.025116067854817282,,,,,,,5.1159,10.9344,7.3645,0.0,0.6319,0.0,13.0,,,,,,2.40729,PASS,
76,s04_vel_pi_staircase,g000009_c2,9,,,,,,1.801733525539512,0.000913896174791862,,,,,,,9.3666,15.2518,7.8514,0.0,0.6171,13.0,13.0,,,,,,2.78796,PASS,
77,s04_vel_pi_staircase,g000009_c3,9,,,,,,0.007944815404055193,0.013654283799468953,,,,,,,2.0609,3.3277,18.2994,0.0,1.7728,0.0,13.0,,,,,,5.52449,PASS,
78,s04_vel_pi_staircase,g000009_c4,9,,,,,,0.321536267149865,0.013208060226877393,,,,,,,6.2492,15.2533,7.3401,0.0,0.4848,0.0,13.0,,,,,,2.07932,PASS,
79,s04_vel_pi_staircase,g000009_c5,9,,,,,,2.105832859113401,0.026763084943164917,,,,,,,9.6674,15.2549,7.6066,0.0,0.5038,13.0,13.0,,,,,,2.47814,PASS,
