run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
35,s06_yaw_pi_turn,g000004_c1,4,,,,,,,,30.600734077538494,45.47755939555424,,,,,8.3514,18.0251,47.7869,0.0,7.0713,0.013357,8.0,8.0,,,,,,1.53864,PASS,
36,s06_yaw_pi_turn,g000004_c2,4,,,,,,,,5.2820129236284545,2.771766520873398,,,,,8.6686,21.0205,44.6779,0.0,6.9964,0.013137,8.0,8.0,,,,,,1.54216,PASS,
37,s06_yaw_pi_turn,g000004_c3,4,,,,,,,,7.475435777655183,100.0,,,,,8.7949,21.3302,46.617,0.0,7.011,0.013291,8.0,8.0,,,,,,1.53259,PASS,
38,s06_yaw_pi_turn,g000004_c4,4,,,,,,,,8.695139555639066,0.24379023176287373,,,,,8.3449,19.1483,47.0491,0.0,6.9893,0.013301,8.0,8.0,,,,,,1.45639,PASS,
39,s06_yaw_pi_turn,g000004_c5,4,,,,,,,,1.9202784423884462,3.4503275954637096,,,,,4.0353,8.4498,2.0606,0.0,0.3332,0.009976,0.11,8.0,,,,,,0.48123,PASS,
40,s06_yaw_pi_turn,g000004_c6,4,,,,,,,,3.499180637075361,17.426952017213154,,,,,4.0375,8.4442,2.0623,0.0,0.3334,0.009975,0.0,8.0,,,,,,0.48205,PASS,
41,s06_yaw_pi_turn,g000004_c7,4,,,,,,,,2.369514325494542,0.7663247743946029,,,,,4.0368,8.4054,2.0633,0.0,0.3335,0.009976,0.08,8.0,,,,,,0.48138,PASS,
42,s06_yaw_pi_turn,g000005_c0,5,,,,,,,,4.803709299580058,46.81717099217559,,,,,7.8799,17.6394,41.2815,0.0,6.8986,0.012998,0.08,8.0,,,,,,1.40209,PASS,
43,s06_yaw_pi_turn,g000005_c1,5,,,,,,,,13.006270119605748,2.4602412184481146,,,,,8.3936,18.643,47.4492,0.0,7.0191,0.013373,8.0,8.0,,,,,,1.50116,PASS,
44,s06_yaw_pi_turn,g000005_c2,5,,,,,,,,0.3322396524263844,0.613940678819547,,,,,4.0374,8.4285,2.062,0.0,0.3332,0.009977,0.132,8.0,,,,,,0.50694,PASS,
45,s06_yaw_pi_turn,g000005_c3,5,,,,,,,,0.40474303303518155,0.768146048381451,,,,,4.0363,8.428,2.0618,0.0,0.3335,0.009976,0.096,8.0,,,,,,0.49813,PASS,
46,s06_yaw_pi_turn,g000005_c4,5,,,,,,,,23.066554488586995,10.401923256322128,,,,,8.3454,17.0068,47.3549,0.0,7.0326,0.013371,8.0,8.0,,,,,,1.52394,PASS,
47,s06_yaw_pi_turn,g000005_c5,5,,,,,,,,0.02718352942990219,12.51637548228895,,,,,4.0349,8.4262,2.0608,0.0,0.3333,0.009976,0.11,8.0,,,,,,0.69419,PASS,
48,s06_yaw_pi_turn,g000005_c6,5,,,,,,,,10.65791823514664,1.0987296769757393,,,,,8.5604,19.6366,47.3219,0.0,7.0372,0.013345,8.0,8.0,,,,,,1.49294,PASS,
49,s06_yaw_pi_turn,g000005_c7,5,,,,,,,,1.7706059170573438,0.062214795348448614,,,,,4.0357,8.4499,2.0606,0.0,0.3334,0.009976,0.076,8.0,,,,,,0.48367,PASS,
50,s06_yaw_pi_turn,g000006_c0,6,,,,,,,,12.213047797493951,87.14901454079144,,,,,8.4672,19.5304,47.331,0.0,7.0013,0.013357,8.0,8.0,,,,,,1.52472,PASS,
51,s06_yaw_pi_turn,g000006_c1,6,,,,,,,,0.7843980911774775,0.01859270874842852,,,,,4.0405,8.4467,2.0637,0.0,0.3333,0.009978,0.138,8.0,,,,,,0.49615,PASS,
52,s06_yaw_pi_turn,g000006_c2,6,,,,,,,,0.14064933842508462,16.985918268483406,,,,,4.0358,8.4196,2.0616,0.0,0.3331,0.009976,0.118,8.0,,,,,,0.55208,PASS,
53,s06_yaw_pi_turn,g000006_c3,6,,,,,,,,2.245971199431955,21.7923957989089,,,,,4.0347,8.4366,2.0615,0.0,0.3334,0.009975,0.0,8.0,,,,,,0.48237,PASS,
54,s06_yaw_pi_turn,g000006_c4,6,,,,,,,,1.7415009913546262,4.900146600963343,,,,,4.0357,8.4165,2.06,0.0,0.333,0.009977,0.118,8.0,,,,,,0.48127,PASS,
55,s06_yaw_pi_turn,g000006_c5,6,,,,,,,,19.49781307342782,2.5375257763514405,,,,,8.5046,19.9474,47.4352,0.0,7.0222,0.013389,8.0,8.0,,,,,,1.55696,PASS,
56,s06_yaw_pi_turn,g000006_c6,6,,,,,,,,1.378080861940106,3.341212833917036,,,,,4.0352,8.4483,2.0606,0.0,0.3332,0.009976,0.098,8.0,,,,,,0.48122,PASS,
57,s06_yaw_pi_turn,g000006_c7,6,,,,,,,,3.344636066573319,0.16483020199436704,,,,,4.0398,8.4275,2.0613,0.0,0.3329,0.009978,0.144,8.0,,,,,,0.48228,PASS,
58,s06_yaw_pi_turn,g000007_c0,7,,,,,,,,46.15446805168313,2.3955541653751213,,,,,8.4924,17.8357,47.7159,0.0,7.0239,0.013347,8.0,8.0,,,,,,1.55754,PASS,
59,s06_yaw_pi_turn,g000007_c1,7,,,,,,,,0.1771853634433413,1.7667560439491972,,,,,4.0377,8.4286,2.0622,0.0,0.3331,0.009976,0.102,8.0,,,,,,0.53817,PASS,
60,s06_yaw_pi_turn,g000007_c2,7,,,,,,,,12.50551113867163,26.77510497578396,,,,,8.3901,17.9662,47.494,0.0,7.0313,0.013357,8.0,8.0,,,,,,1.50141,PASS,
61,s06_yaw_pi_turn,g000007_c3,7,,,,,,,,0.36547293234821326,17.855641024801958,,,,,4.0366,8.4388,2.0608,0.0,0.3332,0.009976,0.112,8.0,,,,,,0.50116,PASS,
62,s06_yaw_pi_turn,g000007_c4,7,,,,,,,,16.925048015898824,24.670227211633073,,,,,8.3366,17.383,47.2001,0.0,6.9693,0.013328,8.0,8.0,,,,,,1.49876,PASS,
63,s06_yaw_pi_turn,g000007_c5,7,,,,,,,,0.9753057002432267,5.890138255863429,,,,,4.0359,8.423,2.061,0.0,0.3333,0.009976,0.116,8.0,,,,,,0.48219,PASS,
64,s06_yaw_pi_turn,g000007_c6,7,,,,,,,,12.05019677092131,2.215016704048756,,,,,8.6192,20.2272,47.3229,0.0,7.0029,0.013328,8.0,8.0,,,,,,1.54562,PASS,
65,s06_yaw_pi_turn,g000007_c7,7,,,,,,,,0.05986486656782617,1.8082465817736753,,,,,4.0365,8.4295,2.0628,0.0,0.3333,0.009975,0.07,8.0,,,,,,0.62025,PASS,
66,s06_yaw_pi_turn,g000008_c0,8,,,,,,,,100.0,12.82728676046545,,,,,8.7479,20.2145,48.2099,0.0,7.0665,0.013384,8.0,8.0,,,,,,1.58429,PASS,
67,s06_yaw_pi_turn,g000008_c1,8,,,,,,,,0.384335907189966,0.9544543873501015,,,,,4.0371,8.4079,2.0595,0.0,0.3328,0.009977,0.134,8.0,,,,,,0.49971,PASS,
68,s06_yaw_pi_turn,g000008_c2,8,,,,,,,,1.4396698503434178,0.41638539837796157,,,,,4.0358,8.4235,2.0613,0.0,0.3332,0.009976,0.094,8.0,,,,,,0.48218,PASS,
69,s06_yaw_pi_turn,g000008_c3,8,,,,,,,,35.11042660166867,0.6002334988025976,,,,,8.8189,18.827,48.1555,0.0,7.0902,0.013358,8.0,8.0,,,,,,1.57069,PASS,
70,s06_yaw_pi_turn,g000008_c4,8,,,,,,,,1.1181689405188084,6.509783353985637,,,,,4.0351,8.4092,2.0631,0.0,0.3333,0.009977,0.118,8.0,,,,,,0.48211,PASS,
71,s06_yaw_pi_turn,g000008_c5,8,,,,,,,,0.7748240207655988,9.01808600780431,,,,,4.0351,8.4178,2.0605,0.0,0.3331,0.009975,0.0,8.0,,,,,,0.48361,PASS,
72,s06_yaw_pi_turn,g000008_c6,8,,,,,,,,80.14257943433422,24.66050403165982,,,,,8.6558,18.932,47.9501,0.0,7.0238,0.01336,8.0,8.0,,,,,,1.57418,PASS,
73,s06_yaw_pi_turn,g000008_c7,8,,,,,,,,3.4421984239168517,0.020738388630419713,,,,,4.037,8.4356,2.0608,0.0,0.3332,0.009976,0.106,8.0,,,,,,0.482,PASS,
74,s06_yaw_pi_turn,g000009_c0,9,,,,,,,,12.617100581306753,0.17680388651702916,,,,,8.4219,18.2071,47.4826,0.0,6.9909,0.013368,8.0,8.0,,,,,,1.48809,PASS,
75,s06_yaw_pi_turn,g000009_c1,9,,,,,,,,100.0,0.7068177026930608,,,,,8.5141,19.3332,47.8201,0.0,7.1003,0.01341,8.0,8.0,,,,,,1.53601,PASS,
76,s06_yaw_pi_turn,g000009_c2,9,,,,,,,,35.47938916089638,11.933433908224474,,,,,8.7237,18.8087,48.3319,0.0,7.1158,0.013375,8.0,8.0,,,,,,1.55967,PASS,
77,s06_yaw_pi_turn,g000009_c3,9,,,,,,,,0.06108670921853177,1.1874240933705011,,,,,4.0366,8.4355,2.0593,0.0,0.3327,0.009977,0.132,8.0,,,,,,0.61876,PASS,
78,s06_yaw_pi_turn,g000009_c4,9,,,,,,,,0.6497630178899232,20.087524539221782,,,,,4.0347,8.4108,2.0602,0.0,0.3332,0.009976,0.096,8.0,,,,,,0.48657,PASS,
79,s06_yaw_pi_turn,g000009_c5,9,,,,,,,,1.0153978758725313,1.4987011838124649,,,,,4.0368,8.4267,2.0607,0.0,0.3332,0.009977,0.122,8.0,,,,,,0.48198,PASS,
80,s06_yaw_pi_turn,g000009_c6,9,,,,,,,,14.670261387734806,9.92494420459152,,,,,8.8546,20.0266,47.8041,0.0,7.1133,0.013391,8.0,8.0,,,,,,1.53496,PASS,
81,s06_yaw_pi_turn,g000009_c7,9,,,,,,,,5.844765637921275,1.0689379647046204,,,,,8.4142,19.2199,46.0421,0.0,6.9889,0.013293,8.0,8.0,,,,,,1.46272,PASS,
