run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
53,s05_vel_pi_leg_cycling,g000006_c3,6,,,,,,0.1897491366166454,0.00093133217676001,,,,,,,5.697,21.292,8.1733,0.0,0.9334,0.017654,0.328,13.0,,,,,,3.3699,PASS,
54,s05_vel_pi_leg_cycling,g000006_c4,6,,,,,,0.2750949346940529,0.0008380156387135473,,,,,,,8.5534,24.3418,50.5402,0.0,5.5761,0.01926,4.528,13.0,,,,,,17.58364,PASS,
55,s05_vel_pi_leg_cycling,g000006_c5,6,,,,,,0.022553995646069046,0.002981815960498435,,,,,,,2.9092,5.8995,12.7162,0.0,1.284,0.01754,0.436,13.0,,,,,,4.14292,PASS,
56,s05_vel_pi_leg_cycling,g000006_c6,6,,,,,,0.00217078658100341,0.0001,,,,,,,1.995,5.3791,17.8312,0.0,1.81,0.017523,0.45,13.0,,,,,,5.6295,PASS,
57,s05_vel_pi_leg_cycling,g000006_c7,6,,,,,,0.060333952842339174,0.0001,,,,,,,3.8065,9.1203,8.4198,0.0,0.8885,0.017564,0.412,13.0,,,,,,3.04615,PASS,
58,s05_vel_pi_leg_cycling,g000007_c0,7,,,,,,0.06334090473916869,0.021982720222678023,,,,,,,4.0081,9.903,6.7573,0.0,0.7475,0.017567,0.406,13.0,,,,,,2.64331,PASS,
59,s05_vel_pi_leg_cycling,g000007_c1,7,,,,,,0.015960613006388985,0.043320683364158355,,,,,,,3.3287,6.8654,8.3676,0.0,0.9064,0.017538,0.442,13.0,,,,,,3.05207,PASS,
60,s05_vel_pi_leg_cycling,g000007_c2,7,,,,,,0.005000969811199749,0.0001793686563182316,,,,,,,2.133,5.3982,17.002,0.0,1.7215,0.017526,0.45,13.0,,,,,,5.3778,PASS,
61,s05_vel_pi_leg_cycling,g000007_c3,7,,,,,,1.060169234222681,0.000364197648520848,,,,,,,18.1117,49.4578,61.8975,0.0,6.5868,0.019951,13.0,13.0,,,,,,21.57157,PASS,
62,s05_vel_pi_leg_cycling,g000007_c4,7,,,,,,0.03158175170790809,0.0003055858052826988,,,,,,,3.1609,6.6862,11.6272,0.0,1.1764,0.017546,0.432,13.0,,,,,,3.84529,PASS,
63,s05_vel_pi_leg_cycling,g000007_c5,7,,,,,,0.10001750347830811,0.002640496995633337,,,,,,,4.4309,12.2334,6.8466,0.0,0.6826,0.017593,0.384,13.0,,,,,,2.49089,PASS,
64,s05_vel_pi_leg_cycling,g000007_c6,7,,,,,,0.6975848402709736,0.0001,,,,,,,15.9566,49.4122,72.324,0.0,7.2032,0.020198,13.0,13.0,,,,,,23.20526,PASS,
65,s05_vel_pi_leg_cycling,g000007_c7,7,,,,,,0.17929490982349508,0.004135544252794837,,,,,,,5.4986,19.3931,7.3592,0.0,0.6542,0.017642,0.334,13.0,,,,,,2.51246,PASS,
66,s05_vel_pi_leg_cycling,g000008_c0,8,,,,,,0.05544117969564197,0.0018579792513116129,,,,,,,3.7234,8.7572,8.6978,0.0,0.9136,0.017563,0.412,13.0,,,,,,3.11314,PASS,
67,s05_vel_pi_leg_cycling,g000008_c1,8,,,,,,3.2522135535121426,0.002248177847751045,,,,,,,22.1021,37.3473,2.8423,0.0,0.0,0.06089,13.0,0.914,,,,,,202.21021,FAIL,fell over
68,s05_vel_pi_leg_cycling,g000008_c2,8,,,,,,0.001,0.0003047381427779848,,,,,,,1.9464,5.3722,18.1212,0.0,1.8419,0.017523,0.452,13.0,,,,,,5.72034,PASS,
69,s05_vel_pi_leg_cycling,g000008_c3,8,,,,,,0.013032515988802108,0.0001,,,,,,,2.4986,5.4521,15.0437,0.0,1.5143,0.017532,0.442,13.0,,,,,,4.79276,PASS,
70,s05_vel_pi_leg_cycling,g000008_c4,8,,,,,,2.922902821061176,0.0001,,,,,,,21.8342,36.9133,2.7968,0.0,0.0,0.061418,13.0,0.898,,,,,,202.18342,FAIL,fell over
71,s05_vel_pi_leg_cycling,g000008_c5,8,,,,,,0.020673660094124968,0.0001,,,,,,,2.8053,5.625,13.4724,0.0,1.3552,0.017539,0.436,13.0,,,,,,4.34613,PASS,
72,s05_vel_pi_leg_cycling,g000008_c6,8,,,,,,0.05249865438489626,0.0001,,,,,,,3.6575,8.4846,9.1244,0.0,0.9504,0.017562,0.414,13.0,,,,,,3.21695,PASS,
73,s05_vel_pi_leg_cycling,g000008_c7,8,,,,,,0.001848831805227382,0.0001,,,,,,,1.9805,5.3605,17.923,0.0,1.8209,0.017523,0.448,13.0,,,,,,5.66075,PASS,
74,s05_vel_pi_leg_cycling,g000009_c0,9,,,,,,0.02511530780626261,0.0001,,,,,,,2.961,6.0557,12.6801,0.0,1.2779,0.017544,0.434,13.0,,,,,,4.1298,PASS,
75,s05_vel_pi_leg_cycling,g000009_c1,9,,,,,,0.0687770032602557,0.0001365234112280613,,,,,,,3.9516,9.7976,7.7544,0.0,0.8321,0.017573,0.406,13.0,,,,,,2.89146,PASS,
76,s05_vel_pi_leg_cycling,g000009_c2,9,,,,,,0.1740085551011414,0.002785799192855578,,,,,,,5.3911,18.6132,7.3794,0.0,0.6898,0.017644,0.338,13.0,,,,,,2.60851,PASS,
77,s05_vel_pi_leg_cycling,g000009_c3,9,,,,,,0.004538506981518504,0.00034615683030623053,,,,,,,2.1152,5.3933,17.1062,0.0,1.7316,0.017526,0.45,13.0,,,,,,5.40632,PASS,
78,s05_vel_pi_leg_cycling,g000009_c4,9,,,,,,35.63874356432158,0.000214600488656789,,,,,,,24.2742,40.2527,3.1799,0.0,1.0359,0.05682,13.0,1.054,,,,,,205.53512,FAIL,fell over
79,s05_vel_pi_leg_cycling,g000009_c5,9,,,,,,4.602618764755754,0.0001,,,,,,,22.8108,38.3628,2.9356,0.0,0.0,0.059501,13.0,0.958,,,,,,202.28108,FAIL,fell over
80,s05_vel_pi_leg_cycling,g000009_c6,9,,,,,,0.07316691228834239,0.0002787597041366417,,,,,,,4.0264,10.1105,7.4405,0.0,0.8086,0.017575,0.404,13.0,,,,,,2.82844,PASS,
81,s05_vel_pi_leg_cycling,g000009_c7,9,,,,,,0.7925113454729642,0.006134865223132307,,,,,,,16.2562,49.3899,68.89,0.0,6.9785,0.020045,13.0,13.0,,,,,,22.56112,PASS,
82,s05_vel_pi_leg_cycling,g000010_c0,10,,,,,,0.12548649308811313,0.0029289802079961336,,,,,,,4.7632,14.2095,6.8618,0.0,0.6116,0.017614,0.368,13.0,,,,,,2.31112,PASS,
83,s05_vel_pi_leg_cycling,g000010_c1,10,,,,,,3.0406101373522603,0.000392199829536059,,,,,,,21.8749,36.9842,2.8034,0.0,0.0,0.061343,13.0,0.9,,,,,,202.18749,FAIL,fell over
84,s05_vel_pi_leg_cycling,g000010_c2,10,,,,,,0.03879457454446184,0.00019161233866045728,,,,,,,3.3501,7.3347,10.6445,0.0,1.0845,0.017552,0.424,13.0,,,,,,3.58851,PASS,
85,s05_vel_pi_leg_cycling,g000010_c3,10,,,,,,0.24248413926918758,0.0024954062111965294,,,,,,,6.9341,24.9258,21.5227,0.0,3.5029,0.018159,0.296,13.0,,,,,,11.20211,PASS,
86,s05_vel_pi_leg_cycling,g000010_c4,10,,,,,,0.012290476366533723,0.00039846450116591065,,,,,,,2.4743,5.4655,15.1666,0.0,1.5274,0.017532,0.442,13.0,,,,,,4.82963,PASS,
87,s05_vel_pi_leg_cycling,g000010_c5,10,,,,,,0.3264816445128658,0.00019275311212978114,,,,,,,9.1626,28.3414,48.4747,0.0,5.3794,0.019203,4.394,13.0,,,,,,17.05446,PASS,
88,s05_vel_pi_leg_cycling,g000010_c6,10,,,,,,0.010775318793150376,0.0009454586852432026,,,,,,,2.4181,5.4336,15.4236,0.0,1.5541,0.01753,0.442,13.0,,,,,,4.90411,PASS,
89,s05_vel_pi_leg_cycling,g000010_c7,10,,,,,,0.045121656300083676,0.0008377575208089245,,,,,,,3.5061,7.8771,9.8274,0.0,1.0126,0.017559,0.422,13.0,,,,,,3.38841,PASS,
90,s05_vel_pi_leg_cycling,g000011_c0,11,,,,,,0.01588710562405058,0.00017892143963557368,,,,,,,2.6205,5.4797,14.4076,0.0,1.4495,0.017535,0.442,13.0,,,,,,4.61055,PASS,
91,s05_vel_pi_leg_cycling,g000011_c1,11,,,,,,0.4938533953687886,0.0007476249561653117,,,,,,,14.3106,49.311,78.1317,0.0,7.5267,0.020329,13.0,13.0,,,,,,24.01116,PASS,
92,s05_vel_pi_leg_cycling,g000011_c2,11,,,,,,0.1467338030403065,0.0001,,,,,,,5.0666,17.5046,6.9761,0.0,0.6295,0.01763,0.354,13.0,,,,,,2.39516,PASS,
93,s05_vel_pi_leg_cycling,g000011_c3,11,,,,,,6.176254927586344,0.018619579869339025,,,,,,,23.2711,38.9938,3.0147,0.0,0.0,0.05861,13.0,0.988,,,,,,202.32711,FAIL,fell over
94,s05_vel_pi_leg_cycling,g000011_c4,11,,,,,,0.046941141844680685,0.00039458311363581414,,,,,,,3.5438,7.9984,9.6818,0.0,1.0034,0.017558,0.42,13.0,,,,,,3.36458,PASS,
95,s05_vel_pi_leg_cycling,g000011_c5,11,,,,,,0.7888479513305452,0.018341307955811723,,,,,,,16.3386,49.4589,69.0744,0.0,7.0085,0.020069,13.0,13.0,,,,,,22.65936,PASS,
96,s05_vel_pi_leg_cycling,g000011_c6,11,,,,,,0.513287317822511,0.0010142055945218061,,,,,,,14.9421,49.5064,78.3256,0.0,7.5706,0.020324,13.0,13.0,,,,,,24.20601,PASS,
97,s05_vel_pi_leg_cycling,g000011_c7,11,,,,,,0.025166954719049603,0.005215798385325274,,,,,,,3.0172,6.221,11.9382,0.0,1.2087,0.017542,0.436,13.0,,,,,,3.92782,PASS,
98,s05_vel_pi_leg_cycling,g000012_c0,12,,,,,,0.07434737192039619,0.0002848220309731759,,,,,,,4.0449,10.2094,7.3746,0.0,0.8013,0.017577,0.4,13.0,,,,,,2.80839,PASS,
99,s05_vel_pi_leg_cycling,g000012_c1,12,,,,,,1.8018809624425667,0.003929638267378122,,,,,,,19.3272,32.1669,4.9706,0.0,6.6617,0.050887,13.0,1.34,,,,,,221.91782,FAIL,fell over
100,s05_vel_pi_leg_cycling,g000012_c2,12,,,,,,0.12530062494319524,0.0017196411625946856,,,,,,,4.7511,14.1778,6.8606,0.0,0.615,0.017614,0.368,13.0,,,,,,2.32011,PASS,
101,s05_vel_pi_leg_cycling,g000012_c3,12,,,,,,0.06624988147487673,0.0019655180174933578,,,,,,,3.9152,9.6439,7.8007,0.0,0.836,0.01757,0.406,13.0,,,,,,2.89952,PASS,
102,s05_vel_pi_leg_cycling,g000012_c4,12,,,,,,0.7933216951422354,0.005720086959201478,,,,,,,16.5824,49.4082,68.5641,0.166,7.0486,0.020046,13.0,13.0,,,,,,22.80404,PASS,
